1.48333	-1.1123	-0.8353	0.0147	15.2077	0.9777	15.9147	16.0177	18.1837	
1.5	-0.9763	-0.9763	0.0347	15.6107	0.9537	15.9697	15.6107	18.1277	
1.52357	-1.0443	-1.0133	0.1127	15.4927	0.9997	16.0957	15.5877	18.1557	
1.54714	-1.2093	-1.1173	0.3057	15.2897	1.1287	16.3237	15.5197	18.2367	
1.57071	-1.4153	-1.2663	0.5587	15.0777	1.3207	16.5747	15.4167	18.3637	
1.59428	-1.6333	-1.4433	0.8417	14.8687	1.5567	16.8397	15.2857	18.5247	
1.61785	-1.8533	-1.6343	1.1457	14.6647	1.8247	17.1147	15.1377	18.7107	
1.64142	-2.0703	-1.8313	1.4657	14.4687	2.1147	17.3977	14.9777	18.9147	
1.66499	-2.2813	-2.0293	1.7987	14.2797	2.4227	17.6887	14.8107	19.1277	
1.68856	-2.4853	-2.2253	2.1427	14.0987	2.7457	17.9877	14.6417	19.3437	
1.71213	-2.6823	-2.4163	2.4977	13.9247	3.0817	18.2957	14.4727	19.5547	
1.7357	-2.8703	-2.6023	2.8627	13.7587	3.4277	18.6097	14.3057	19.7507	
1.75927	-3.0503	-2.7823	3.2377	13.5997	3.7837	18.9307	14.1407	19.9197	
1.78284	-3.2213	-2.9543	3.6217	13.4487	4.1487	19.2587	13.9807	20.0397	
1.80641	-3.3833	-3.1183	4.0147	13.3057	4.5217	19.5927	13.8257	20.0867	
1.82998	-3.5363	-3.2743	4.4167	13.1707	4.9017	19.9317	13.6757	20.0317	
1.85355	-3.6803	-3.4223	4.8277	13.0427	5.2897	20.2757	13.5317	19.8617	
1.87712	-3.8153	-3.5603	5.2467	12.9217	5.6837	20.6207	13.3937	19.5907	
1.90069	-3.9413	-3.6903	5.6737	12.8087	6.0837	20.9307	13.2617	19.2447	
1.92426	-4.0573	-3.8113	6.1087	12.7017	6.4887	20.5557	13.1347	18.8517	
1.94783	-4.1643	-3.9223	6.5497	12.6017	6.8987	19.9167	13.0127	18.4307	
1.9714	-4.2623	-4.0243	6.9967	12.5067	7.3117	19.2827	12.8947	17.9967	
1.99497	-4.3513	-4.1173	7.4497	12.4177	7.7277	18.6637	12.7807	17.5587	
2.01855	-4.4303	-4.2003	7.9057	12.3317	8.1447	18.0627	12.6667	17.1257	
2.04211	-4.5003	-4.2733	8.3637	12.2487	8.5627	17.4847	12.5517	16.7057	
2.06569	-4.5613	-4.3373	8.8207	12.1647	8.9777	16.9347	12.4307	16.3047	
2.08926	-4.6123	-4.3913	9.2737	12.0757	9.3887	16.4207	12.2987	15.9337	
2.11283	-4.6543	-4.4353	9.7177	11.9747	9.7917	15.9547	12.1497	15.6037	
2.1364	-4.6873	-4.4693	10.1457	11.8537	10.1827	15.5527	11.9757	15.3267	
2.15997	-4.7103	-4.4943	10.5467	11.7007	10.5557	15.2367	11.7697	15.1167	
2.18354	-4.7243	-4.5093	10.9057	11.5047	10.9017	15.0327	11.5297	14.9857	
2.20711	-4.7293	-4.5143	11.1507	11.1507	11.3167	11.3167	14.9407	14.9617	
2.23597	-5.0623	-4.1673	11.0867	11.0867	11.3937	11.3937	14.8067	15.1087	
2.26484	-5.4693	-3.7203	10.9887	10.9887	11.5297	11.5297	14.6757	15.2767	
2.29371	-5.8673	-3.2563	10.8947	10.8947	11.6847	11.6847	14.5577	15.4587	
2.32258	-6.2533	-2.7773	10.8127	10.8127	11.8557	11.8557	14.4517	15.6517	
2.35144	-6.6263	-2.2853	10.7417	10.7417	12.0387	12.0387	14.3597	15.8567	
2.38031	-6.9853	-1.7813	10.6827	10.6827	12.2357	12.2357	14.2797	16.0727	
2.40918	-7.3303	-1.2643	10.6367	10.6367	12.4447	12.4447	14.2127	16.2987	
2.43805	-7.6613	-0.7353	10.6027	10.6027	12.6657	12.6657	14.1587	16.5367	
2.46691	-7.9793	-0.1933	10.5807	10.5807	12.8977	12.8977	14.1157	16.7837	
2.49578	-8.2823	0.3597	10.5717	10.5717	13.1427	13.1427	14.0867	17.0397	
2.52465	-8.5713	0.9247	10.5747	10.5747	13.3977	13.3977	14.0677	17.3047	
2.55352	-8.8453	1.5017	10.5907	10.5907	13.6647	13.6647	14.0617	17.5777	
2.58239	-9.1063	2.0897	10.6187	10.6187	13.9397	13.9397	14.0647	17.8567	
2.61125	-9.3513	2.6887	10.6587	10.6587	14.2237	14.2237	14.0787	18.1427	
2.64012	-9.5833	3.2977	10.7117	10.7117	14.5137	14.5137	14.1017	18.4327	
2.66899	-9.7993	3.9167	10.7757	10.7757	14.8067	14.8067	14.1337	18.2117	
2.69785	-10.0013	4.5457	10.8527	10.8527	15.0937	15.0937	14.1717	17.8347	
2.72672	-10.1883	5.1847	10.9417	10.9417	15.3627	15.3627	14.2167	17.5007	
2.75559	-10.3613	5.8317	11.0417	11.0417	15.5787	15.5787	14.2647	17.2397	
2.78446	-10.5193	6.4867	11.1537	11.1537	15.6807	15.6807	14.3157	17.1137	
2.81332	-10.6613	7.1487	11.2767	11.2767	15.6157	15.6157	14.3657	17.1747	
2.84219	-10.7893	7.8157	11.4097	11.4097	15.4217	15.4217	14.4117	17.3807	
2.87106	-10.9023	8.4867	11.5537	11.5537	15.1687	15.1687	14.4487	17.6617	
2.89993	-11.0003	9.1587	11.7057	11.7057	14.8967	14.8967	14.4717	17.9727	
2.9288	-11.0833	9.8297	11.8637	11.8637	14.6267	14.6267	14.4687	18.1017	
2.95766	-11.1513	10.4917	12.0257	12.0257	14.3677	14.3677	14.4257	17.5237	
2.98653	-11.2033	11.1347	12.1837	12.1837	14.1317	14.1317	14.3207	17.0177	
3.0154	-11.2413	11.7377	12.3277	12.3277	13.9327	13.9327	14.1337	16.6267	
3.04426	-11.2643	12.2427	12.4347	12.4347	13.7907	13.7907	13.8857	16.3837	
3.07313	-11.2713	12.4757	12.4757	12.4757	13.7387	13.7387	13.7387	16.3037	
3.10647	-11.2613	12.3087	12.3087	12.3917	13.7137	13.9197	13.9197	16.4077	
3.1398	-11.2313	11.9527	11.9527	12.1617	13.6427	14.3177	14.3177	16.6987	
3.17313	-11.1813	11.5437	11.5437	11.8347	13.5267	14.7967	14.7967	17.1257	
3.20647	-11.1103	11.1257	11.1257	11.4537	13.3737	15.3117	15.3117	17.3787	
3.2398	-11.0203	10.7127	10.7127	11.0457	13.1887	15.8497	15.8497	16.5767	
3.27313	-10.9103	10.3097	10.3097	10.6287	12.9777	16.4017	16.4017	15.7387	
3.30647	-10.7793	9.9197	9.9197	10.2117	12.7467	16.9637	16.9637	14.8817	
3.3398	-10.6293	9.5437	9.5437	9.8017	12.5007	17.5347	17.5347	14.0187	
3.37313	-10.4583	9.1827	9.1827	9.4017	12.2427	18.1087	18.1087	13.1577	
3.40647	-10.2683	8.8387	8.8387	9.0157	11.9597	18.6847	18.6847	12.3197	
3.4398	-10.0593	8.5097	8.5097	8.6447	11.3877	19.2577	19.2577	11.7757	
3.47313	-9.8293	8.1967	8.1967	8.2887	10.5617	19.8257	19.8257	11.4957	
